Start,End,Regularity,Steps,Movements per hour,Time in bed (seconds),Time asleep (seconds),Time before sleep (seconds),Window start,Window stop,Snore time,Sleep Quality
22.04.00,06.04.00,72,3814,64.4,28849.8,22983.6,192.3,05.45.00,05.45.00,0.0,68
22.05.00,06.00.00,81,2604,48.0,28506.4,26701.0,190.0,05.40.00,05.40.00,74.0,81
22.48.00,06.42.00,88,1606,61.5,28453.8,24849.7,189.7,06.40.00,06.40.00,319.0,70
20.59.00,05.56.00,89,946,60.3,32187.9,29612.9,214.6,05.45.00,05.45.00,427.0,80
00.31.00,08.18.00,73,3283,46.2,28014.3,27827.5,186.8,05.45.00,05.45.00,0.0,82
22.35.00,08.07.00,71,4527,65.0,34317.3,30428.0,1715.9,05.45.00,05.45.00,1119.0,77
22.03.00,05.50.00,70,6107,79.1,28003.1,25669.5,186.7,05.40.00,05.40.00,0.0,57
22.23.00,05.42.00,85,3060,52.2,26342.1,21776.1,175.6,05.40.00,05.40.00,0.0,73
22.20.00,05.52.00,90,3991,41.4,27131.6,24780.2,180.9,05.40.00,05.40.00,0.0,83
20.59.00,06.04.00,94,3816,49.8,32681.6,28977.7,217.9,05.40.00,05.40.00,0.0,92
22.19.00,07.07.00,89,2368,47.6,31685.9,29151.1,211.2,06.45.00,06.45.00,334.0,92
21.47.00,07.09.00,88,7632,66.0,33709.4,29776.6,3258.6,07.00.00,07.00.00,0.0,78
22.34.00,06.01.00,90,7076,51.7,26853.2,23899.4,179.0,05.40.00,05.40.00,65.0,75
22.29.00,05.59.00,92,3601,52.2,27029.4,22074.0,1531.7,05.40.00,05.40.00,107.0,75
22.13.00,05.53.00,98,3832,51.0,27643.3,24510.4,184.3,05.40.00,05.40.00,0.0,78
01.32.00,08.37.00,50,5259,18.0,25538.1,24005.8,170.3,05.40.00,05.40.00,0.0,91
23.09.00,06.03.00,67,3551,71.5,24810.5,21502.4,165.4,06.00.00,06.00.00,0.0,56
21.41.00,06.02.00,73,5003,62.3,30034.6,25629.5,200.2,05.40.00,05.40.00,1583.0,75
22.06.00,06.00.00,88,3939,40.9,28458.4,25707.4,189.7,05.40.00,05.40.00,0.0,86
21.34.00,06.01.00,90,3301,24.5,30409.7,27774.2,1216.4,05.40.00,05.40.00,475.0,100
22.22.00,07.02.00,92,3352,50.1,31181.5,28479.1,935.4,05.40.00,05.40.00,98.0,87
00.18.00,08.00.00,76,7011,22.8,27748.7,26823.7,185.0,08.00.00,08.00.00,0.0,96
21.50.00,05.33.00,59,2708,34.9,27801.4,26318.7,926.7,05.30.00,05.30.00,65.0,88
21.55.00,06.36.00,75,4046,40.3,31266.4,28244.0,208.4,07.00.00,07.00.00,0.0,95
23.00.00,06.11.00,79,3140,56.2,25875.5,23115.4,172.5,05.50.00,05.50.00,402.0,68
22.18.00,07.00.00,88,3381,41.6,31301.9,27232.7,1878.1,06.50.00,06.50.00,554.0,94
22.39.00,07.55.00,88,3453,20.2,33401.2,32510.5,222.7,06.50.00,06.50.00,0.0,100
21.58.00,06.01.00,84,6132,31.9,29016.1,27855.5,193.4,05.50.00,05.50.00,451.0,93
22.13.00,06.01.00,88,7488,0.0,28093.2,27905.9,187.3,05.40.00,05.40.00,371.0,100
21.57.00,06.11.00,91,1968,47.1,29672.6,29474.8,197.8,05.40.00,05.40.00,127.0,84
22.50.00,05.57.00,95,2662,36.3,25587.1,23540.1,170.6,05.40.00,05.40.00,119.0,80
21.43.00,07.36.00,88,4203,27.6,35584.8,30721.6,3202.6,07.45.00,07.45.00,550.0,100
00.29.00,08.03.00,80,4436,38.8,27213.8,24492.4,181.4,08.00.00,08.00.00,0.0,83
22.28.00,05.41.00,68,4416,27.3,25970.0,24411.8,1558.2,05.40.00,05.40.00,0.0,86
22.20.00,06.06.00,79,3680,29.0,27984.5,24626.3,1585.8,05.45.00,05.45.00,0.0,92
22.51.00,06.01.00,95,4091,29.5,25816.8,24956.3,172.1,06.00.00,06.00.00,82.0,84
21.21.00,06.22.00,92,2122,31.1,32407.6,31435.4,216.1,05.40.00,05.40.00,76.0,100
22.38.00,06.42.00,89,4100,23.2,28991.7,28218.6,193.3,06.40.00,06.40.00,81.0,99
22.50.00,08.04.00,86,14631,23.5,33245.2,33023.5,221.6,06.40.00,06.40.00,780.0,100
23.18.00,08.33.00,89,166,30.1,33283.0,33061.1,221.9,06.40.00,06.40.00,80.0,100
23.12.00,06.22.00,87,2646,54.0,25769.4,21646.3,1288.5,06.30.00,06.30.00,390.0,68
21.13.00,05.36.00,83,7571,21.4,30190.1,29083.1,201.3,05.30.00,05.30.00,306.0,100
22.27.00,05.32.00,82,6955,32.6,25467.7,24788.5,169.8,05.30.00,05.30.00,1138.0,80
21.30.00,05.41.00,86,5631,31.3,29486.7,27914.1,196.6,05.30.00,05.30.00,144.0,94
21.47.00,05.55.00,92,6949,70.7,29274.3,27127.5,195.2,05.45.00,05.45.00,208.0,66
22.59.00,07.46.00,87,220,59.2,31615.2,28348.3,1580.8,05.45.00,05.45.00,2021.0,80
21.31.00,07.56.00,80,7927,52.1,37530.3,32276.1,1751.4,07.45.00,07.45.00,1166.0,87
22.41.00,06.42.00,83,6381,35.5,28851.3,28658.9,192.3,06.40.00,06.40.00,0.0,89
22.37.00,05.44.00,86,2040,28.3,25567.6,24459.7,170.5,05.40.00,05.40.00,79.0,83
23.12.00,06.08.00,88,2439,47.2,24919.3,20516.9,166.1,06.00.00,06.00.00,0.0,70
21.32.00,05.02.00,87,3000,46.6,27036.0,24512.7,180.2,05.00.00,05.00.00,309.0,76
23.40.00,08.03.00,75,9082,24.2,30169.5,29968.4,201.1,05.00.00,05.00.00,89.0,100
00.05.00,08.45.00,75,1418,34.2,31186.8,30978.9,207.9,05.00.00,05.00.00,804.0,97
21.46.00,05.01.00,66,1522,37.6,26100.5,22881.4,174.0,05.00.00,05.00.00,103.0,79
21.52.00,05.08.00,79,6994,39.5,26190.4,24531.6,174.6,05.00.00,05.00.00,0.0,78
21.31.00,05.03.00,81,5266,39.0,27094.2,26913.6,180.6,05.00.00,05.00.00,0.0,81
21.54.00,05.05.00,97,5406,27.3,25817.5,24956.9,172.1,05.00.00,05.00.00,880.0,85
22.18.00,06.30.00,93,3498,29.4,29547.3,27085.0,197.0,06.00.00,06.00.00,398.0,95
20.11.00,08.10.00,83,581,43.1,43094.3,34619.1,2442.0,06.00.00,06.00.00,0.0,94
22.28.00,08.52.00,76,954,49.9,37451.1,34455.0,1248.4,06.00.00,06.00.00,207.0,88
21.12.00,07.02.00,73,1660,58.2,35395.4,31265.9,4129.5,07.00.00,07.00.00,481.0,82
22.41.00,07.36.00,77,2938,69.1,32108.3,24295.3,2247.6,07.30.00,07.30.00,227.0,73
22.04.00,06.30.00,81,363,54.7,30356.8,28029.5,2327.4,06.30.00,06.30.00,97.0,80
01.21.00,08.29.00,71,1595,25.6,25688.2,24403.8,171.3,08.00.00,08.00.00,61.0,85
00.32.00,09.29.00,70,6042,34.5,32238.4,31056.3,214.9,08.00.00,08.00.00,65.0,100
23.58.00,08.00.00,84,1387,49.8,28931.6,24206.1,192.9,08.00.00,08.00.00,0.0,82
23.07.00,07.01.00,84,1191,53.6,28459.7,24095.9,3225.4,07.00.00,07.00.00,62.0,78
23.50.00,08.09.00,84,3622,63.8,29922.1,25932.4,199.5,07.00.00,07.00.00,110.0,73
23.51.00,07.10.00,88,4078,44.6,26335.4,22824.0,2106.8,07.00.00,07.00.00,61.0,79
23.28.00,07.00.00,94,190,119.5,27113.0,20605.9,180.8,07.00.00,07.00.00,509.0,35
22.45.00,08.36.00,88,3487,67.4,35485.7,32055.5,236.6,07.00.00,07.00.00,834.0,81
